   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 7.09608, -25.4963, 24.4028, 35.9988, 4.67701, 36.3014, 60.7042, 11.8986, 1.6296, 0.814798
px, py, pz, p1, m1, e, num, den, ln, y: 14.4131, -8.26958, 11.0681, 19.9656, 0.227636, 19.9669, 31.035, 8.89883, 1.2492, 0.624598
px, py, pz, p1, m1, e, num, den, ln, y: 7.79442, 7.04635, 20.6466, 23.1665, 1.37512, 23.2072, 43.8538, 2.56067, 2.84059, 1.4203
px, py, pz, p1, m1, e, num, den, ln, y: 7.38495, -10.7128, -8.54007, 15.5639, 2.42042, 15.751, 7.21091, 24.2911, -1.21451, -0.607256
px, py, pz, p1, m1, e, num, den, ln, y: -18.628, 2.08378, 12.8222, 22.7102, 3.08819, 22.9192, 35.7415, 10.097, 1.26407, 0.632037
px, py, pz, p1, m1, e, num, den, ln, y: 1.26849, -45.3048, 41.9444, 61.7533, 0.852348, 61.7592, 103.704, 19.8147, 1.65511, 0.827555
px, py, pz, p1, m1, e, num, den, ln, y: 3.51701, -8.09068, 16.792, 18.9684, 5.94597, 19.8785, 36.6704, 3.08649, 2.47494, 1.23747
px, py, pz, p1, m1, e, num, den, ln, y: -19.5878, -6.82787, -7.40344, 22.0253, 2.57903, 22.1757, 14.7723, 29.5792, -0.694317, -0.347158
px, py, pz, p1, m1, e, num, den, ln, y: 8.69155, -1.77524, -4.32745, 9.87022, 1.42658, 9.97278, 5.64534, 14.3002, -0.929446, -0.464723
px, py, pz, p1, m1, e, num, den, ln, y: -0.195414, -3.78416, -8.34663, 9.16648, 6.98713, 11.5258, 3.17918, 19.8724, -1.83271, -0.916355
px, py, pz, p1, m1, e, num, den, ln, y: 6.80796, 6.99327, -13.8454, 16.9396, 2.03006, 17.0608, 3.21539, 30.9061, -2.26301, -1.1315
px, py, pz, p1, m1, e, num, den, ln, y: -13.2081, 1.87004, 4.93248, 14.2225, 1.18619, 14.2719, 19.2043, 9.33938, 0.720896, 0.360448
px, py, pz, p1, m1, e, num, den, ln, y: -18.5194, 35.0295, 93.1644, 101.24, 2.29349, 101.266, 194.431, 8.10209, 3.17795, 1.58898
px, py, pz, p1, m1, e, num, den, ln, y: 0.515146, 5.64313, 14.9531, 15.9908, 7.10734, 17.4992, 32.4523, 2.54603, 2.54523, 1.27262
px, py, pz, p1, m1, e, num, den, ln, y: 3.83491, -13.0538, -2.93772, 13.919, 2.79488, 14.1968, 11.2591, 17.1345, -0.41992, -0.20996
