   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -8.35827, -10.1166, 9.17286, 16.0109, 3.13392, 16.3147, 25.4876, 7.14183, 1.27222, 0.636111
px, py, pz, p1, m1, e, num, den, ln, y: -10.2982, -2.28392, -1.77558, 10.6968, 3.11696, 11.1417, 9.36615, 12.9173, -0.321466, -0.160733
px, py, pz, p1, m1, e, num, den, ln, y: 7.05659, 11.3216, -35.5378, 37.9593, 3.12071, 38.0873, 2.54957, 73.6251, -3.36306, -1.68153
px, py, pz, p1, m1, e, num, den, ln, y: -1.25352, -11.0338, 42.0916, 43.5318, 3.14243, 43.6451, 85.7367, 1.55347, 4.01079, 2.00539
px, py, pz, p1, m1, e, num, den, ln, y: -8.84022, 2.04874, 0.724531, 9.10339, 3.10586, 9.61863, 10.3432, 8.8941, 0.150937, 0.0754687
px, py, pz, p1, m1, e, num, den, ln, y: 10.6124, -5.43193, 0.468442, 11.931, 3.09965, 12.327, 12.7955, 11.8586, 0.076039, 0.0380195
px, py, pz, p1, m1, e, num, den, ln, y: -13.8596, -0.0712821, -6.95806, 15.5083, 3.08149, 15.8115, 8.85343, 22.7695, -0.944619, -0.472309
px, py, pz, p1, m1, e, num, den, ln, y: -2.54751, 11.6288, 21.0981, 24.225, 3.07277, 24.4191, 45.5172, 3.32097, 2.61783, 1.30892
px, py, pz, p1, m1, e, num, den, ln, y: 4.79982, -6.84724, -13.1469, 15.5809, 3.10528, 15.8873, 2.74041, 29.0342, -2.36037, -1.18018
px, py, pz, p1, m1, e, num, den, ln, y: -0.462419, -7.5776, -17.2101, 18.8101, 3.72254, 19.1749, 1.96485, 36.385, -2.91874, -1.45937
px, py, pz, p1, m1, e, num, den, ln, y: -8.81583, 2.0741, 8.68738, 12.5496, 3.06437, 12.9183, 21.6056, 4.23089, 1.63054, 0.815271
px, py, pz, p1, m1, e, num, den, ln, y: -8.83662, 15.884, 27.5111, 32.9734, 3.12554, 33.1212, 60.6324, 5.61012, 2.38026, 1.19013
px, py, pz, p1, m1, e, num, den, ln, y: -0.386097, 8.12099, 5.94123, 10.0696, 3.06077, 10.5245, 16.4658, 4.58332, 1.27886, 0.63943
px, py, pz, p1, m1, e, num, den, ln, y: -7.1658, 3.57141, 3.14295, 8.60127, 3.08531, 9.13789, 12.2808, 5.99494, 0.717124, 0.358562
px, py, pz, p1, m1, e, num, den, ln, y: -7.36414, -8.88568, 19.2449, 22.4399, 3.0801, 22.6503, 41.8952, 3.40547, 2.50979, 1.25489
px, py, pz, p1, m1, e, num, den, ln, y: 6.21948, 5.95518, -7.62876, 11.5041, 3.10214, 11.915, 4.28625, 19.5438, -1.51724, -0.758622
px, py, pz, p1, m1, e, num, den, ln, y: -1.70424, -14.8663, -32.3387, 35.6329, 3.09619, 35.7671, 3.42844, 68.1058, -2.98896, -1.49448
px, py, pz, p1, m1, e, num, den, ln, y: -2.24499, 18.9051, 23.6807, 30.3845, 3.07499, 30.5397, 54.2204, 6.85899, 2.0675, 1.03375
px, py, pz, p1, m1, e, num, den, ln, y: 12.066, 11.6193, -62.0992, 64.3188, 3.13139, 64.395, 2.29578, 126.494, -4.00912, -2.00456
px, py, pz, p1, m1, e, num, den, ln, y: -7.76217, 1.54305, 12.9877, 15.209, 3.07579, 15.5169, 28.5046, 2.52917, 2.42218, 1.21109
px, py, pz, p1, m1, e, num, den, ln, y: 18.8651, -5.06801, 0.929403, 19.556, 3.10417, 19.8009, 20.7303, 18.8715, 0.0939439, 0.046972
px, py, pz, p1, m1, e, num, den, ln, y: -4.08499, 16.0465, 16.7548, 23.5563, 3.08796, 23.7579, 40.5127, 7.00303, 1.75527, 0.877636
px, py, pz, p1, m1, e, num, den, ln, y: -11.4768, -1.03053, 1.51155, 11.6217, 3.10801, 12.0301, 13.5416, 10.5185, 0.25263, 0.126315
px, py, pz, p1, m1, e, num, den, ln, y: 11.6227, 15.603, 24.9527, 31.6414, 3.11753, 31.7946, 56.7473, 6.84193, 2.11554, 1.05777
px, py, pz, p1, m1, e, num, den, ln, y: -13.3503, 1.309, -6.58097, 14.9416, 3.11994, 15.2639, 8.68293, 21.8449, -0.922607, -0.461304
px, py, pz, p1, m1, e, num, den, ln, y: 10.4189, 7.50709, 3.73226, 13.3731, 3.07614, 13.7223, 17.4546, 9.99003, 0.558013, 0.279006
px, py, pz, p1, m1, e, num, den, ln, y: -7.79646, -10.2647, -19.5223, 23.3938, 3.06485, 23.5937, 4.07138, 43.116, -2.35991, -1.17996
px, py, pz, p1, m1, e, num, den, ln, y: -7.52727, 5.8442, 4.36794, 10.483, 3.11053, 10.9347, 15.3027, 6.56681, 0.846, 0.423
px, py, pz, p1, m1, e, num, den, ln, y: -10.5168, -4.70716, -0.940771, 11.5605, 3.08431, 11.9649, 11.0241, 12.9056, -0.157581, -0.0787905
px, py, pz, p1, m1, e, num, den, ln, y: 2.80265, 15.2444, 56.28, 58.3754, 3.07645, 58.4564, 114.736, 2.17639, 3.96497, 1.98248
px, py, pz, p1, m1, e, num, den, ln, y: -0.234765, -10.4351, -37.0604, 38.5022, 3.13594, 38.6297, 1.56931, 75.6902, -3.87601, -1.93801
px, py, pz, p1, m1, e, num, den, ln, y: 17.4585, 11.8003, 10.4942, 23.5409, 3.11441, 23.746, 34.2402, 13.2518, 0.949267, 0.474633
px, py, pz, p1, m1, e, num, den, ln, y: -7.11236, -2.62495, 15.1437, 16.9354, 3.05108, 17.2081, 32.3518, 2.06434, 2.75186, 1.37593
px, py, pz, p1, m1, e, num, den, ln, y: -11.1109, -2.88262, 21.6126, 24.4718, 3.10798, 24.6684, 46.281, 3.05571, 2.71772, 1.35886
px, py, pz, p1, m1, e, num, den, ln, y: -2.70806, 13.2529, -10.4118, 17.0698, 3.09889, 17.3488, 6.937, 27.7607, -1.38675, -0.693375
px, py, pz, p1, m1, e, num, den, ln, y: -17.707, 9.34149, -4.82017, 20.5921, 3.07464, 20.8204, 16.0002, 25.6406, -0.471573, -0.235787
px, py, pz, p1, m1, e, num, den, ln, y: 14.5831, -6.60372, -14.8803, 21.8563, 3.0743, 22.0715, 7.19118, 36.9517, -1.63676, -0.818379
px, py, pz, p1, m1, e, num, den, ln, y: 14.0232, -0.740267, 10.3874, 17.467, 3.08352, 17.7371, 28.1245, 7.34968, 1.34199, 0.670993
px, py, pz, p1, m1, e, num, den, ln, y: 26.7172, 13.6885, 82.8468, 88.118, 3.05216, 88.1708, 171.018, 5.324, 3.46954, 1.73477
px, py, pz, p1, m1, e, num, den, ln, y: 11.2179, 10.4084, 8.76257, 17.634, 3.07288, 17.8998, 26.6623, 9.1372, 1.0709, 0.535449
px, py, pz, p1, m1, e, num, den, ln, y: 9.3705, 1.64979, -3.8857, 10.2775, 3.12656, 10.7425, 6.85684, 14.6282, -0.757707, -0.378853
px, py, pz, p1, m1, e, num, den, ln, y: -8.65087, 3.4216, 11.0822, 14.4692, 3.13491, 14.805, 25.8871, 3.7228, 1.93927, 0.969634
px, py, pz, p1, m1, e, num, den, ln, y: 0.671537, 9.06272, -25.7961, 27.35, 3.02662, 27.517, 1.72086, 53.3131, -3.43336, -1.71668
px, py, pz, p1, m1, e, num, den, ln, y: 7.98373, -9.18959, -1.11244, 12.224, 3.10497, 12.6122, 11.4997, 13.7246, -0.176867, -0.0884334
px, py, pz, p1, m1, e, num, den, ln, y: 11.9746, -0.635463, 35.7258, 37.6846, 3.11567, 37.8132, 73.5389, 2.08737, 3.56191, 1.78095
px, py, pz, p1, m1, e, num, den, ln, y: 3.53001, -7.76138, -39.9464, 40.8462, 3.11141, 40.9645, 1.01817, 80.9109, -4.37534, -2.18767
px, py, pz, p1, m1, e, num, den, ln, y: -5.88855, -9.21618, -37.3143, 38.8841, 3.12962, 39.0098, 1.6955, 76.3242, -3.80701, -1.90351
px, py, pz, p1, m1, e, num, den, ln, y: -3.50916, 6.7071, -14.3035, 16.183, 3.11875, 16.4808, 2.17728, 30.7843, -2.64893, -1.32446
