   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 8.93729, -14.3869, -5.02563, 17.6668, 3.12415, 17.9409, 12.9152, 22.9665, -0.575629, -0.287814
px, py, pz, p1, m1, e, num, den, ln, y: -3.54517, -8.4815, -5.46793, 10.6959, 3.08735, 11.1326, 5.66464, 16.6005, -1.07519, -0.537594
px, py, pz, p1, m1, e, num, den, ln, y: -2.07622, 16.7801, -0.190984, 16.9091, 3.11438, 17.1936, 17.0026, 17.3845, -0.0222167, -0.0111083
px, py, pz, p1, m1, e, num, den, ln, y: 5.48876, -7.55607, -37.5475, 38.6916, 2.98923, 38.8069, 1.25934, 76.3544, -4.1048, -2.0524
px, py, pz, p1, m1, e, num, den, ln, y: 0.18981, 19.6218, -30.6715, 36.4114, 3.01744, 36.5362, 5.86473, 67.2077, -2.43883, -1.21942
px, py, pz, p1, m1, e, num, den, ln, y: 8.83969, -0.484631, -13.6051, 16.2319, 3.09972, 16.5252, 2.92009, 30.1303, -2.33392, -1.16696
px, py, pz, p1, m1, e, num, den, ln, y: 17.1556, -0.188545, 22.3922, 28.2093, 3.0718, 28.376, 50.7682, 5.98378, 2.13822, 1.06911
px, py, pz, p1, m1, e, num, den, ln, y: -3.28077, 11.0867, 4.91776, 12.5643, 3.10434, 12.9422, 17.8599, 8.0244, 0.800073, 0.400036
px, py, pz, p1, m1, e, num, den, ln, y: 10.7757, -2.67578, -12.2145, 16.5067, 3.06313, 16.7885, 4.57397, 29.003, -1.84702, -0.92351
px, py, pz, p1, m1, e, num, den, ln, y: -9.14294, -4.74131, -1.13211, 10.3612, 3.10395, 10.8162, 9.68406, 11.9483, -0.210105, -0.105053
px, py, pz, p1, m1, e, num, den, ln, y: -19.2379, 21.0275, 49.03, 56.7114, 3.12515, 56.7975, 105.827, 7.76752, 2.61186, 1.30593
px, py, pz, p1, m1, e, num, den, ln, y: -9.24436, -3.02609, -0.976855, 9.77597, 3.10389, 10.2569, 9.28003, 11.2337, -0.191057, -0.0955285
px, py, pz, p1, m1, e, num, den, ln, y: -7.26223, -6.11116, 20.5497, 22.6357, 3.08474, 22.845, 43.3947, 2.29525, 2.93949, 1.46975
px, py, pz, p1, m1, e, num, den, ln, y: -5.7534, -10.2418, 23.2244, 26.0263, 3.08473, 26.2085, 49.4329, 2.98406, 2.80733, 1.40366
